location,date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated
Albania,2020-05-08,850.0,8.0,31.0,0.0,238.0,9925.0,0.044,22.8,,,
Albania,2020-05-09,856.0,6.0,31.0,0.0,224.0,10149.0,0.042,23.8,,,
Albania,2020-05-10,868.0,12.0,31.0,0.0,170.0,10319.0,0.046,21.6,,,
Albania,2020-05-11,872.0,4.0,31.0,0.0,121.0,10440.0,0.044,22.5,,,
Albania,2020-05-12,876.0,4.0,31.0,0.0,243.0,10683.0,0.037,27.2,,,
Albania,2020-05-13,880.0,4.0,31.0,0.0,246.0,10929.0,0.032,31.6,,,
Albania,2020-05-14,898.0,18.0,31.0,0.0,191.0,11120.0,0.039,25.6,,,
Albania,2020-05-15,916.0,18.0,31.0,0.0,219.0,11339.0,0.047,21.4,,,
Albania,2020-05-16,933.0,17.0,31.0,0.0,306.0,11645.0,0.051,19.5,,,
Albania,2020-05-17,946.0,13.0,31.0,0.0,260.0,11905.0,0.049,20.4,,,
Albania,2020-05-18,948.0,2.0,31.0,0.0,168.0,12073.0,0.047,21.5,,,
Albania,2020-05-19,949.0,1.0,31.0,0.0,177.0,12250.0,0.047,21.5,,,
Albania,2020-05-20,964.0,15.0,31.0,0.0,186.0,12436.0,0.056,17.9,,,
Albania,2020-05-21,969.0,5.0,31.0,0.0,204.0,12640.0,0.047,21.4,,,
Albania,2020-05-22,981.0,12.0,31.0,0.0,174.0,12814.0,0.044,22.7,,,
Albania,2020-05-23,989.0,8.0,31.0,0.0,200.0,13014.0,0.041,24.5,,,
Albania,2020-05-24,998.0,9.0,32.0,1.0,146.0,13160.0,0.042,24.1,,,
Albania,2020-05-25,1004.0,6.0,32.0,0.0,54.0,13214.0,0.049,20.4,,,
Albania,2020-05-26,1029.0,25.0,33.0,1.0,173.0,13387.0,0.071,14.2,,,
Albania,2020-05-27,1050.0,21.0,33.0,0.0,262.0,13649.0,0.071,14.1,,,
Albania,2020-05-28,1076.0,26.0,33.0,0.0,225.0,13874.0,0.087,11.5,,,
Albania,2020-05-29,1099.0,23.0,33.0,0.0,276.0,14150.0,0.088,11.3,,,
Albania,2020-05-30,1122.0,23.0,33.0,0.0,229.0,14379.0,0.097,10.3,,,
Albania,2020-05-31,1137.0,15.0,33.0,0.0,225.0,14604.0,0.096,10.4,,,
Albania,2020-06-01,1143.0,6.0,33.0,0.0,102.0,14706.0,0.093,10.7,,,
Albania,2020-06-02,1164.0,21.0,33.0,0.0,243.0,14949.0,0.086,11.6,,,
Albania,2020-06-03,1184.0,20.0,33.0,0.0,297.0,15246.0,0.084,11.9,,,
Albania,2020-06-04,1197.0,13.0,33.0,0.0,282.0,15528.0,0.073,13.7,,,
Albania,2020-06-05,1212.0,15.0,33.0,0.0,162.0,15690.0,0.073,13.6,,,
Albania,2020-06-06,1232.0,20.0,34.0,1.0,253.0,15943.0,0.07,14.2,,,
Albania,2020-06-07,1246.0,14.0,34.0,0.0,193.0,16136.0,0.071,14.1,,,
Albania,2020-06-08,1263.0,17.0,34.0,0.0,102.0,16238.0,0.078,12.8,,,
Albania,2020-06-09,1299.0,36.0,34.0,0.0,359.0,16597.0,0.082,12.2,,,
Albania,2020-06-10,1341.0,42.0,34.0,0.0,311.0,16908.0,0.095,10.6,,,
Albania,2020-06-11,1385.0,44.0,35.0,1.0,291.0,17199.0,0.112,8.9,,,
Albania,2020-06-12,1416.0,31.0,36.0,1.0,300.0,17499.0,0.113,8.9,,,
Albania,2020-06-13,1464.0,48.0,36.0,0.0,270.0,17769.0,0.127,7.9,,,
Albania,2020-06-14,1521.0,57.0,36.0,0.0,362.0,18131.0,0.138,7.3,,,
Albania,2020-06-15,1590.0,69.0,36.0,0.0,319.0,18450.0,0.148,6.8,,,
Albania,2020-06-16,1672.0,82.0,37.0,1.0,364.0,18814.0,0.168,5.9,,,
Albania,2020-06-17,1722.0,50.0,38.0,1.0,333.0,19147.0,0.17,5.9,,,
Albania,2020-06-18,1788.0,66.0,39.0,1.0,280.0,19427.0,0.181,5.5,,,
Albania,2020-06-19,1838.0,50.0,42.0,3.0,330.0,19757.0,0.187,5.4,,,
Albania,2020-06-20,1891.0,53.0,43.0,1.0,320.0,20077.0,0.185,5.4,,,
Albania,2020-06-21,1962.0,71.0,44.0,1.0,327.0,20404.0,0.194,5.2,,,
Albania,2020-06-22,1995.0,33.0,44.0,0.0,239.0,20643.0,0.185,5.4,,,
Albania,2020-06-23,2047.0,52.0,45.0,1.0,328.0,20971.0,0.174,5.7,,,
Albania,2020-06-24,2114.0,67.0,47.0,2.0,347.0,21318.0,0.181,5.5,,,
Albania,2020-06-25,2192.0,78.0,49.0,2.0,344.0,21662.0,0.181,5.5,,,
Albania,2020-06-26,2269.0,77.0,51.0,2.0,402.0,22064.0,0.187,5.4,,,
Albania,2020-06-27,2330.0,61.0,53.0,2.0,355.0,22419.0,0.187,5.3,,,
Albania,2020-06-28,2402.0,72.0,55.0,2.0,374.0,22793.0,0.184,5.4,,,
Albania,2020-06-29,2466.0,64.0,58.0,3.0,371.0,23164.0,0.187,5.4,,,
Albania,2020-06-30,2535.0,69.0,62.0,4.0,371.0,23535.0,0.19,5.3,,,
Albania,2020-07-01,2580.0,45.0,65.0,3.0,269.0,23804.0,0.188,5.3,,,
Albania,2020-07-02,2662.0,82.0,69.0,4.0,368.0,24172.0,0.187,5.3,,,
Albania,2020-07-03,2752.0,90.0,72.0,3.0,362.0,24534.0,0.195,5.1,,,
Albania,2020-07-04,2819.0,67.0,74.0,2.0,376.0,24910.0,0.196,5.1,,,
Albania,2020-07-05,2893.0,74.0,76.0,2.0,392.0,25302.0,0.196,5.1,,,
Albania,2020-07-06,2964.0,71.0,79.0,3.0,459.0,25761.0,0.192,5.2,,,
Albania,2020-07-07,3038.0,74.0,81.0,2.0,409.0,26170.0,0.191,5.2,,,
Albania,2020-07-08,3106.0,68.0,83.0,2.0,397.0,26567.0,0.19,5.3,,,
Albania,2020-07-09,3188.0,82.0,83.0,0.0,401.0,26968.0,0.188,5.3,,,
Albania,2020-07-10,3278.0,90.0,85.0,2.0,420.0,27388.0,0.184,5.4,,,
Albania,2020-07-11,3371.0,93.0,89.0,4.0,420.0,27808.0,0.19,5.3,,,
Albania,2020-07-12,3454.0,83.0,93.0,4.0,420.0,28228.0,0.192,5.2,,,
Albania,2020-07-13,3571.0,117.0,95.0,2.0,585.0,28813.0,0.199,5.0,,,
Albania,2020-07-14,3667.0,96.0,97.0,2.0,451.0,29264.0,0.203,4.9,,,
Albania,2020-07-15,3752.0,85.0,101.0,4.0,361.0,29625.0,0.211,4.7,,,
Albania,2020-07-16,3851.0,99.0,104.0,3.0,425.0,30050.0,0.215,4.6,,,
Albania,2020-07-17,3906.0,55.0,107.0,3.0,431.0,30481.0,0.203,4.9,,,
Albania,2020-07-18,4008.0,102.0,111.0,4.0,501.0,30982.0,0.201,5.0,,,
Albania,2020-07-19,4090.0,82.0,112.0,1.0,331.0,31313.0,0.206,4.9,,,
Albania,2020-07-20,4171.0,81.0,113.0,1.0,267.0,31580.0,0.217,4.6,,,
Albania,2020-07-21,4290.0,119.0,117.0,4.0,482.0,32062.0,0.222,4.5,,,
Albania,2020-07-22,4358.0,68.0,120.0,3.0,496.0,32558.0,0.207,4.8,,,
Albania,2020-07-23,4466.0,108.0,123.0,3.0,477.0,33035.0,0.206,4.8,,,
Albania,2020-07-24,4570.0,104.0,128.0,5.0,564.0,33599.0,0.213,4.7,,,
Albania,2020-07-25,4637.0,67.0,134.0,6.0,304.0,33903.0,0.215,4.6,,,
Albania,2020-07-26,4763.0,126.0,138.0,4.0,504.0,34407.0,0.218,4.6,,,
Albania,2020-07-27,4880.0,117.0,144.0,6.0,500.0,34907.0,0.213,4.7,,,
Albania,2020-07-28,4997.0,117.0,148.0,4.0,507.0,35414.0,0.211,4.7,,,
Albania,2020-07-29,5105.0,108.0,150.0,2.0,502.0,35916.0,0.222,4.5,,,
Albania,2020-07-30,5197.0,92.0,154.0,4.0,507.0,36423.0,0.216,4.6,,,
Albania,2020-07-31,5276.0,79.0,157.0,3.0,500.0,36923.0,0.212,4.7,,,
Albania,2020-08-01,5396.0,120.0,161.0,4.0,510.0,37433.0,0.215,4.6,,,
Albania,2020-08-02,5519.0,123.0,166.0,5.0,474.0,37907.0,0.216,4.6,,,
Albania,2020-08-03,5620.0,101.0,172.0,6.0,474.0,38381.0,0.213,4.7,,,
Albania,2020-08-04,5750.0,130.0,176.0,4.0,546.0,38927.0,0.214,4.7,,,
Albania,2020-08-05,5889.0,139.0,182.0,6.0,561.0,39488.0,0.22,4.6,,,
Albania,2020-08-06,6016.0,127.0,188.0,6.0,531.0,40019.0,0.228,4.4,,,
Albania,2020-08-07,6151.0,135.0,189.0,1.0,586.0,40605.0,0.238,4.2,,,
Albania,2020-08-08,6275.0,124.0,193.0,4.0,500.0,41105.0,0.239,4.2,,,
Albania,2020-08-09,6411.0,136.0,199.0,6.0,561.0,41666.0,0.237,4.2,,,
Albania,2020-08-10,6536.0,125.0,200.0,1.0,506.0,42172.0,0.241,4.1,,,
Albania,2020-08-11,6676.0,140.0,205.0,5.0,603.0,42775.0,0.241,4.2,,,
Albania,2020-08-12,6817.0,141.0,208.0,3.0,625.0,43400.0,0.237,4.2,,,
Albania,2020-08-13,6971.0,154.0,213.0,5.0,643.0,44043.0,0.237,4.2,,,
Albania,2020-08-14,7117.0,146.0,219.0,6.0,639.0,44682.0,0.237,4.2,,,
